player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-122,1990,10.0,9.0,829.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,0.7,0.7,0.7,0.08,0.07,0.15,0.08,0.15,9.2,12.0,5.0,3.0,41.7,1.3,0.54,0.0,0.0,0.06,-0.7,-0.7,453.0,560.0,80.9,7433.0,3496.0,232.0,264.0,87.9,174.0,207.0,84.1,36.0,70.0,51.4,0.3,9.0,35.0,19.0,4.0,62.0,484.0,76.0,13.0,1.0,46.0,8.0,21.0,2.0,0.0,2.0,0.0,370.0,99.0,91.0,375.0,105.0,12.0,61.0,1.0,6.0,7.0,11.0,13.0,19.0,2.06,17.0,2.0,0.0,0.0,0.0,2.0,0.22,2.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,7.0,5.0,0.0,6.0,11.0,54.5,5.0,73.0,27.0,37.0,44.0,20.0,9.0,10.0,2.0,0.0,8.0,15.0,14.0,1.0,641.0,27.0,170.0,328.0,179.0,21.0,562.0,2.0,8.0,25.0,2.0,0.0,376.0,1868.0,1041.0,435.0,403.0,92.6,4.0,5.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,96.0,6.0,7.0,46.2,2020/2021,Premier League
Tammy Abraham,eng ENG,FW,Chelsea,23-088,1997,14.0,8.0,782.0,6.0,1.0,0.0,0.0,0.0,0.0,0.69,0.12,0.81,0.69,0.81,5.1,5.1,0.9,0.58,0.1,0.68,0.58,0.68,8.7,27.0,11.0,0.0,40.7,3.11,1.27,0.22,0.55,0.19,0.9,0.9,119.0,179.0,66.5,1653.0,291.0,74.0,96.0,77.1,28.0,50.0,56.0,9.0,15.0,60.0,0.1,8.0,10.0,0.0,0.0,8.0,172.0,7.0,1.0,0.0,64.0,1.0,3.0,0.0,0.0,0.0,0.0,105.0,50.0,24.0,16.0,116.0,15.0,0.0,11.0,0.0,3.0,3.0,11.0,16.0,1.84,10.0,0.0,1.0,2.0,3.0,2.0,0.23,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,3.0,1.0,0.0,3.0,0.0,3.0,113.0,26.0,23.0,8.0,49.0,56.0,7.0,2.0,0.0,5.0,2.0,11.0,0.0,278.0,15.0,32.0,127.0,132.0,51.0,271.0,5.0,14.0,35.7,5.0,1.0,142.0,731.0,262.0,365.0,201.0,55.1,20.0,6.0,0.0,14.0,10.0,3.0,1.0,0.0,0.0,39.0,32.0,22.0,59.3,2020/2021,Premier League
Che Adams,eng ENG,FW,Southampton,24-169,1996,15.0,15.0,1289.0,4.0,4.0,0.0,0.0,1.0,0.0,0.28,0.28,0.56,0.28,0.56,3.3,3.3,3.9,0.23,0.27,0.5,0.23,0.5,14.3,26.0,13.0,0.0,50.0,1.82,0.91,0.15,0.31,0.13,0.7,0.7,220.0,315.0,69.8,3676.0,872.0,105.0,141.0,74.5,74.0,94.0,78.7,28.0,39.0,71.8,0.1,18.0,17.0,10.0,0.0,31.0,307.0,8.0,1.0,6.0,85.0,6.0,5.0,0.0,0.0,0.0,0.0,185.0,66.0,64.0,23.0,250.0,20.0,0.0,9.0,4.0,7.0,9.0,16.0,28.0,1.96,21.0,0.0,1.0,3.0,3.0,5.0,0.35,5.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,3.0,8.0,5.0,3.0,14.0,21.4,11.0,188.0,62.0,33.0,26.0,62.0,100.0,9.0,1.0,0.0,8.0,3.0,11.0,0.0,478.0,12.0,37.0,213.0,248.0,48.0,471.0,11.0,19.0,57.9,11.0,0.0,301.0,1518.0,636.0,739.0,368.0,49.8,41.0,27.0,0.0,15.0,23.0,10.0,0.0,0.0,0.0,58.0,19.0,72.0,20.9,2020/2021,Premier League
Tosin Adarabioyo,eng ENG,DF,Fulham,23-096,1997,11.0,11.0,990.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.04,0.01,0.06,0.04,0.06,11.0,9.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.05,-0.5,-0.5,401.0,465.0,86.2,9841.0,3575.0,69.0,80.0,86.3,223.0,240.0,92.9,103.0,138.0,74.6,-0.1,3.0,27.0,1.0,0.0,17.0,447.0,18.0,17.0,0.0,41.0,14.0,1.0,0.0,0.0,0.0,0.0,337.0,40.0,88.0,70.0,357.0,26.0,1.0,2.0,0.0,11.0,4.0,2.0,8.0,0.73,8.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,14.0,2.0,0.0,7.0,10.0,70.0,3.0,51.0,14.0,27.5,40.0,10.0,1.0,9.0,6.0,0.0,3.0,12.0,69.0,0.0,584.0,126.0,337.0,237.0,22.0,14.0,566.0,1.0,1.0,100.0,1.0,0.0,305.0,1001.0,459.0,368.0,353.0,95.9,0.0,6.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,100.0,25.0,12.0,67.6,2020/2021,Premier League
Adrián,es ESP,GK,Liverpool,33-361,1987,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,62.0,69.4,1147.0,723.0,12.0,12.0,100.0,18.0,19.0,94.7,11.0,29.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,45.0,17.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,26.0,9.0,38.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,64.0,69.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,29.0,110.0,65.0,28.0,27.0,96.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2020/2021,Premier League
Sergio Agüero,ar ARG,FW,Manchester City,32-210,1988,4.0,2.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6,0.44,0.37,0.8,0.44,0.8,1.5,4.0,1.0,0.0,25.0,2.61,0.65,0.0,0.0,0.17,-0.7,-0.7,31.0,40.0,77.5,364.0,58.0,17.0,21.0,81.0,5.0,6.0,83.3,2.0,2.0,100.0,-0.6,3.0,2.0,1.0,0.0,1.0,38.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,7.0,4.0,4.0,32.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.61,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,4.0,23.5,2.0,3.0,12.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,58.0,0.0,4.0,18.0,37.0,15.0,56.0,0.0,2.0,0.0,1.0,1.0,27.0,156.0,94.0,64.0,46.0,71.9,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0,2020/2021,Premier League
Ola Aina,ng NGA,DF,Fulham,24-082,1996,12.0,12.0,1080.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.3,0.3,0.3,0.03,0.03,0.05,0.03,0.05,12.0,5.0,1.0,0.0,20.0,0.42,0.08,0.2,1.0,0.07,0.7,0.7,536.0,696.0,77.0,10370.0,4353.0,229.0,249.0,92.0,222.0,264.0,84.1,79.0,164.0,48.2,-0.3,8.0,48.0,9.0,6.0,47.0,586.0,110.0,12.0,0.0,53.0,19.0,26.0,0.0,0.0,0.0,0.0,382.0,106.0,208.0,81.0,465.0,46.0,98.0,3.0,0.0,8.0,12.0,13.0,12.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,13.0,6.0,2.0,7.0,15.0,46.7,8.0,98.0,25.0,25.5,53.0,36.0,9.0,17.0,3.0,0.0,14.0,19.0,43.0,0.0,811.0,45.0,286.0,402.0,170.0,5.0,709.0,4.0,7.0,57.1,4.0,0.0,436.0,2250.0,1303.0,512.0,492.0,96.1,8.0,6.0,0.0,10.0,10.0,1.0,0.0,0.0,0.0,110.0,7.0,15.0,31.8,2020/2021,Premier League
Rayan Aït Nouri,fr FRA,DF,Wolves,19-206,2001,6.0,4.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,0.2,0.2,0.4,0.06,0.09,0.15,0.06,0.15,3.9,5.0,2.0,0.0,40.0,1.29,0.51,0.2,0.5,0.04,0.8,0.8,153.0,188.0,81.4,2396.0,695.0,79.0,87.0,90.8,63.0,75.0,84.0,8.0,16.0,50.0,-0.4,4.0,7.0,5.0,3.0,12.0,165.0,23.0,0.0,0.0,19.0,2.0,9.0,0.0,0.0,0.0,0.0,126.0,29.0,33.0,139.0,16.0,6.0,23.0,0.0,0.0,0.0,1.0,8.0,7.0,1.8,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,5.0,0.0,4.0,8.0,50.0,4.0,60.0,16.0,26.7,29.0,26.0,5.0,4.0,0.0,0.0,4.0,2.0,9.0,0.0,228.0,10.0,53.0,103.0,80.0,7.0,205.0,9.0,14.0,64.3,9.0,2.0,155.0,862.0,513.0,156.0,145.0,92.9,5.0,2.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,36.0,4.0,5.0,44.4,2020/2021,Premier League
Semi Ajayi,ng NGA,DF,West Brom,27-050,1993,14.0,14.0,1260.0,1.0,0.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.0,0.02,0.0,0.02,0.02,0.02,14.0,3.0,1.0,0.0,33.3,0.21,0.07,0.33,1.0,0.09,0.7,0.7,414.0,541.0,76.5,8686.0,3686.0,130.0,144.0,90.3,209.0,258.0,81.0,74.0,131.0,56.5,0.0,1.0,38.0,2.0,0.0,30.0,510.0,31.0,11.0,1.0,56.0,16.0,3.0,0.0,0.0,0.0,0.0,355.0,52.0,134.0,28.0,425.0,44.0,20.0,1.0,2.0,16.0,20.0,7.0,4.0,0.29,3.0,0.0,0.0,1.0,0.0,2.0,0.14,1.0,0.0,0.0,1.0,0.0,0.0,34.0,24.0,25.0,7.0,2.0,9.0,18.0,50.0,9.0,163.0,67.0,41.1,110.0,47.0,6.0,28.0,16.0,1.0,12.0,12.0,55.0,0.0,672.0,109.0,365.0,310.0,32.0,7.0,642.0,6.0,9.0,66.7,6.0,0.0,357.0,2006.0,1112.0,373.0,358.0,96.0,3.0,6.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,151.0,30.0,15.0,66.7,2020/2021,Premier League
Nathan Aké,nl NED,DF,Manchester City,25-315,1995,6.0,5.0,470.0,1.0,0.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,0.1,0.1,0.0,0.01,0.0,0.02,0.01,0.02,5.2,1.0,1.0,0.0,100.0,0.19,0.19,1.0,1.0,0.07,0.9,0.9,429.0,461.0,93.1,7845.0,2158.0,177.0,185.0,95.7,214.0,226.0,94.7,36.0,44.0,81.8,0.0,1.0,36.0,0.0,0.0,23.0,441.0,20.0,10.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,393.0,25.0,43.0,353.0,61.0,16.0,10.0,2.0,0.0,2.0,4.0,4.0,2.0,0.38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,100.0,0.0,29.0,11.0,37.9,9.0,14.0,6.0,4.0,1.0,0.0,3.0,3.0,14.0,0.0,492.0,16.0,110.0,362.0,47.0,4.0,472.0,0.0,0.0,0.0,0.0,0.0,361.0,1696.0,952.0,396.0,388.0,98.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,56.0,23.0,9.0,71.9,2020/2021,Premier League
