squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
vs Arsenal,29.0,46.0,38.0,418.0,3420.0,48.0,30.0,7.0,8.0,79.0,1.0,1.26,0.79,2.05,1.08,1.87,56.6,50.4,35.8,1.49,0.94,2.43,1.33,2.27,38.0,38.0,3420.0,56.0,1.47,144.0,89.0,0.632,10.0,14.0,14.0,7.0,18.4,3.0,3.0,0.0,0.0,38.0,1.0,12.0,0.0,54.6,0.37,-1.4,-0.04,285.0,621.0,45.9,843.0,134.0,54.2,42.5,258.0,63.6,50.4,317.0,23.0,7.3,24.0,0.63,14.6,545.0,189.0,17.0,34.7,14.34,4.97,0.08,0.22,0.1,-8.6,-9.4,13754.0,17221.0,79.9,274662.0,92749.0,5567.0,6276.0,88.7,5817.0,6717.0,86.6,2150.0,3558.0,60.4,-5.8,396.0,1088.0,314.0,84.0,1132.0,15434.0,1787.0,466.0,26.0,3279.0,568.0,501.0,230.0,78.0,68.0,38.0,10876.0,2610.0,3735.0,4693.0,10474.0,676.0,739.0,230.0,43.0,316.0,236.0,458.0,847.0,22.29,607.0,80.0,52.0,36.0,50.0,77.0,2.03,50.0,8.0,2.0,6.0,10.0,0.0,706.0,400.0,337.0,268.0,101.0,255.0,710.0,35.9,455.0,6466.0,1703.0,26.3,1965.0,2821.0,1680.0,628.0,119.0,3.0,509.0,266.0,822.0,14.0,21572.0,2354.0,6458.0,10143.0,6266.0,1030.0,19812.0,364.0,598.0,60.9,394.0,25.0,13478.0,79692.0,44677.0,16197.0,13754.0,84.9,403.0,399.0,0.0,459.0,407.0,52.0,8.0,3.0,0.0,3147.0,573.0,499.0,53.5,2019/2020,Premier League
vs Aston Villa,28.0,56.1,38.0,418.0,3420.0,66.0,44.0,5.0,6.0,90.0,7.0,1.74,1.16,2.89,1.61,2.76,65.9,61.3,44.3,1.73,1.17,2.9,1.61,2.78,38.0,38.0,3420.0,41.0,1.08,146.0,106.0,0.726,21.0,8.0,9.0,11.0,28.9,3.0,1.0,1.0,1.0,38.0,0.0,9.0,1.0,35.3,0.23,-4.7,-0.12,287.0,643.0,44.6,888.0,174.0,52.4,42.3,276.0,64.5,50.6,410.0,28.0,6.8,15.0,0.39,12.7,602.0,175.0,21.0,29.1,15.84,4.61,0.1,0.35,0.11,0.1,-0.3,15965.0,19746.0,80.9,313110.0,105065.0,6587.0,7411.0,88.9,6737.0,7716.0,87.3,2360.0,3862.0,61.1,-0.3,443.0,1301.0,419.0,85.0,1515.0,17868.0,1878.0,481.0,43.0,3234.0,640.0,577.0,242.0,91.0,106.0,6.0,12624.0,3047.0,4075.0,4952.0,12469.0,719.0,801.0,277.0,36.0,322.0,248.0,517.0,950.0,25.0,685.0,81.0,63.0,44.0,52.0,105.0,2.76,70.0,8.0,6.0,7.0,9.0,1.0,607.0,351.0,277.0,228.0,102.0,179.0,583.0,30.7,404.0,5582.0,1558.0,27.9,1900.0,2286.0,1396.0,542.0,135.0,1.0,407.0,223.0,999.0,8.0,24095.0,2378.0,7028.0,11080.0,7392.0,1221.0,22265.0,400.0,615.0,65.0,421.0,18.0,15508.0,90839.0,51860.0,18516.0,15965.0,86.2,409.0,414.0,6.0,542.0,432.0,43.0,5.0,3.0,1.0,3442.0,753.0,668.0,53.0,2019/2020,Premier League
vs Bournemouth,27.0,56.2,38.0,418.0,3420.0,65.0,45.0,5.0,6.0,67.0,3.0,1.71,1.18,2.89,1.58,2.76,57.5,53.0,38.4,1.51,1.01,2.52,1.39,2.41,38.0,38.0,3420.0,40.0,1.05,116.0,80.0,0.69,22.0,7.0,9.0,15.0,39.5,4.0,4.0,0.0,0.0,38.0,3.0,7.0,2.0,43.8,0.35,5.8,0.15,234.0,684.0,34.2,917.0,129.0,53.5,43.5,250.0,77.2,58.3,296.0,28.0,9.5,23.0,0.61,14.1,546.0,182.0,15.0,33.3,14.37,4.79,0.11,0.33,0.1,7.5,7.0,16582.0,20748.0,79.9,330035.0,101757.0,6428.0,7342.0,87.6,7339.0,8433.0,87.0,2515.0,4216.0,59.7,6.6,395.0,1240.0,383.0,91.0,1422.0,18912.0,1836.0,413.0,48.0,3931.0,570.0,484.0,251.0,105.0,88.0,22.0,13146.0,3337.0,4265.0,5324.0,13058.0,761.0,844.0,221.0,69.0,331.0,273.0,528.0,864.0,22.74,667.0,58.0,55.0,38.0,28.0,104.0,2.74,70.0,2.0,10.0,11.0,6.0,0.0,687.0,411.0,333.0,254.0,100.0,249.0,644.0,38.7,395.0,5753.0,1820.0,31.6,1958.0,2307.0,1488.0,626.0,129.0,3.0,497.0,253.0,1081.0,12.0,25273.0,2367.0,7802.0,12009.0,6933.0,1072.0,23483.0,371.0,587.0,63.2,398.0,21.0,16487.0,91671.0,49537.0,19408.0,16582.0,85.4,434.0,377.0,0.0,409.0,347.0,71.0,2.0,4.0,2.0,3758.0,807.0,747.0,51.9,2019/2020,Premier League
vs Brighton,25.0,47.8,38.0,418.0,3420.0,52.0,42.0,2.0,2.0,61.0,1.0,1.37,1.11,2.47,1.32,2.42,54.5,52.9,39.0,1.43,1.03,2.46,1.39,2.42,38.0,38.0,3418.0,39.0,1.03,137.0,103.0,0.723,15.0,14.0,9.0,13.0,34.2,2.0,1.0,1.0,0.0,38.0,2.0,6.0,4.0,41.7,0.3,6.7,0.18,201.0,605.0,33.2,868.0,162.0,46.3,41.5,308.0,65.9,53.3,367.0,28.0,7.6,25.0,0.66,13.7,497.0,164.0,20.0,33.0,13.08,4.32,0.1,0.3,0.11,-2.5,-2.9,14228.0,18051.0,78.8,278474.0,89795.0,5930.0,6765.0,87.7,5918.0,6909.0,85.7,2146.0,3715.0,57.8,3.0,362.0,977.0,319.0,72.0,1154.0,16193.0,1858.0,434.0,61.0,2958.0,626.0,443.0,204.0,87.0,58.0,23.0,11375.0,2800.0,3876.0,5238.0,10594.0,734.0,835.0,254.0,63.0,343.0,288.0,469.0,784.0,20.63,551.0,62.0,72.0,37.0,41.0,83.0,2.18,56.0,6.0,5.0,6.0,5.0,3.0,730.0,436.0,389.0,251.0,90.0,219.0,599.0,36.6,380.0,6525.0,1770.0,27.1,2096.0,2694.0,1735.0,644.0,137.0,1.0,507.0,316.0,891.0,10.0,22554.0,2424.0,7682.0,10219.0,6036.0,972.0,20747.0,401.0,645.0,62.2,430.0,16.0,14199.0,85853.0,47358.0,16883.0,14228.0,84.3,443.0,450.0,0.0,340.0,371.0,70.0,2.0,2.0,4.0,3411.0,563.0,659.0,46.1,2019/2020,Premier League
vs Burnley,22.0,58.6,38.0,418.0,3420.0,49.0,38.0,4.0,5.0,42.0,3.0,1.29,1.0,2.29,1.18,2.18,48.3,44.5,33.1,1.27,0.87,2.14,1.17,2.04,38.0,38.0,3420.0,43.0,1.13,124.0,86.0,0.677,14.0,9.0,15.0,10.0,26.3,3.0,3.0,0.0,0.0,38.0,0.0,7.0,2.0,40.3,0.31,-0.7,-0.02,226.0,732.0,30.9,1064.0,184.0,50.0,41.4,280.0,71.4,54.3,341.0,23.0,6.7,26.0,0.68,15.3,535.0,159.0,21.0,29.7,14.08,4.18,0.08,0.28,0.08,0.7,0.5,15724.0,20032.0,78.5,301686.0,97630.0,6571.0,7428.0,88.5,6674.0,7820.0,85.3,2181.0,3991.0,54.6,4.9,387.0,1052.0,367.0,94.0,1292.0,18046.0,1986.0,468.0,31.0,3368.0,565.0,528.0,238.0,64.0,82.0,26.0,12394.0,3179.0,4459.0,5548.0,11758.0,953.0,920.0,295.0,40.0,360.0,245.0,520.0,835.0,21.97,611.0,65.0,50.0,40.0,51.0,77.0,2.03,52.0,2.0,9.0,6.0,4.0,1.0,534.0,333.0,258.0,219.0,57.0,179.0,472.0,37.9,293.0,4758.0,1449.0,30.5,1579.0,2210.0,969.0,512.0,103.0,4.0,409.0,186.0,1178.0,8.0,24467.0,2552.0,8412.0,10915.0,6675.0,1006.0,22508.0,376.0,613.0,61.3,408.0,15.0,15370.0,92853.0,51612.0,18553.0,15724.0,84.8,457.0,379.0,1.0,394.0,401.0,50.0,5.0,3.0,2.0,3895.0,881.0,928.0,48.7,2019/2020,Premier League
vs Chelsea,27.0,39.3,38.0,418.0,3420.0,51.0,36.0,2.0,2.0,76.0,3.0,1.34,0.95,2.29,1.29,2.24,37.9,36.4,26.0,1.0,0.68,1.68,0.96,1.64,38.0,38.0,3420.0,69.0,1.82,210.0,145.0,0.705,12.0,6.0,20.0,7.0,18.4,7.0,7.0,0.0,0.0,38.0,2.0,8.0,0.0,66.4,0.29,-2.6,-0.07,260.0,712.0,36.5,922.0,140.0,52.7,43.2,315.0,71.7,54.7,387.0,17.0,4.4,13.0,0.34,13.1,316.0,115.0,15.0,36.4,8.32,3.03,0.16,0.43,0.12,13.1,12.6,12299.0,16131.0,76.2,244270.0,85328.0,4992.0,5791.0,86.2,5159.0,6165.0,83.7,1926.0,3508.0,54.9,10.0,232.0,832.0,211.0,64.0,1000.0,14379.0,1752.0,434.0,34.0,3072.0,454.0,330.0,132.0,52.0,42.0,16.0,9518.0,2814.0,3799.0,4282.0,9607.0,750.0,764.0,236.0,40.0,356.0,256.0,475.0,491.0,12.92,343.0,54.0,21.0,22.0,36.0,81.0,2.13,52.0,8.0,6.0,4.0,6.0,3.0,699.0,431.0,345.0,275.0,79.0,220.0,718.0,30.6,498.0,7596.0,1956.0,25.8,2661.0,3340.0,1595.0,712.0,194.0,4.0,518.0,280.0,1132.0,16.0,20899.0,2833.0,7572.0,9717.0,4687.0,644.0,19186.0,378.0,627.0,60.3,409.0,20.0,12315.0,67932.0,34118.0,14942.0,12299.0,82.3,502.0,522.0,0.0,396.0,368.0,43.0,2.0,5.0,0.0,3484.0,667.0,670.0,49.9,2019/2020,Premier League
vs Crystal Palace,25.0,55.5,38.0,418.0,3420.0,48.0,36.0,0.0,1.0,88.0,5.0,1.26,0.95,2.21,1.26,2.21,51.3,50.6,35.5,1.35,0.93,2.28,1.33,2.26,38.0,38.0,3420.0,31.0,0.82,116.0,87.0,0.759,17.0,10.0,11.0,16.0,42.1,3.0,3.0,0.0,0.0,38.0,2.0,3.0,2.0,30.9,0.25,1.9,0.05,230.0,522.0,44.1,762.0,146.0,48.0,40.5,252.0,61.9,50.1,259.0,15.0,5.8,18.0,0.47,13.5,507.0,169.0,23.0,33.3,13.34,4.45,0.09,0.28,0.1,-3.3,-2.6,15987.0,19852.0,80.5,317866.0,102400.0,6411.0,7253.0,88.4,6874.0,7948.0,86.5,2441.0,3906.0,62.5,0.5,379.0,1324.0,333.0,82.0,1375.0,17968.0,1884.0,447.0,36.0,3226.0,675.0,511.0,235.0,112.0,76.0,24.0,12695.0,3017.0,4140.0,5144.0,12371.0,744.0,881.0,228.0,25.0,365.0,266.0,526.0,794.0,20.89,556.0,90.0,43.0,41.0,47.0,80.0,2.11,67.0,1.0,2.0,6.0,2.0,2.0,796.0,461.0,432.0,274.0,90.0,241.0,715.0,33.7,474.0,6248.0,1784.0,28.6,2149.0,2779.0,1320.0,583.0,116.0,2.0,467.0,285.0,953.0,9.0,24514.0,2246.0,7076.0,12045.0,6903.0,984.0,22680.0,387.0,678.0,57.1,418.0,19.0,15690.0,91558.0,51061.0,18676.0,15987.0,85.6,480.0,474.0,3.0,491.0,411.0,31.0,1.0,3.0,2.0,3627.0,726.0,720.0,50.2,2019/2020,Premier League
vs Everton,24.0,50.8,38.0,418.0,3420.0,53.0,39.0,3.0,4.0,61.0,2.0,1.39,1.03,2.42,1.32,2.34,48.4,45.4,32.0,1.27,0.84,2.11,1.19,2.04,38.0,38.0,3420.0,44.0,1.16,155.0,114.0,0.723,15.0,10.0,13.0,10.0,26.3,1.0,1.0,0.0,0.0,38.0,0.0,8.0,2.0,47.4,0.3,5.4,0.14,241.0,629.0,38.3,911.0,171.0,45.7,41.0,286.0,74.5,56.9,362.0,21.0,5.8,25.0,0.66,14.2,427.0,145.0,23.0,34.0,11.24,3.82,0.12,0.34,0.11,4.6,4.6,14146.0,18039.0,78.4,287628.0,98805.0,5445.0,6259.0,87.0,6119.0,7083.0,86.4,2321.0,4009.0,57.9,7.0,309.0,1048.0,287.0,68.0,1187.0,16093.0,1946.0,503.0,64.0,3075.0,587.0,404.0,181.0,75.0,69.0,16.0,11142.0,2914.0,3983.0,4601.0,11083.0,696.0,894.0,239.0,74.0,340.0,269.0,457.0,689.0,18.13,482.0,59.0,57.0,33.0,47.0,93.0,2.45,56.0,7.0,11.0,7.0,9.0,2.0,675.0,425.0,314.0,280.0,81.0,205.0,634.0,32.3,429.0,5525.0,1638.0,29.6,1774.0,2418.0,1333.0,684.0,145.0,2.0,539.0,267.0,1071.0,12.0,22814.0,2504.0,7762.0,10831.0,5620.0,853.0,20909.0,460.0,737.0,62.4,491.0,27.0,14101.0,82166.0,44591.0,16864.0,14146.0,83.9,454.0,495.0,1.0,410.0,452.0,77.0,3.0,1.0,2.0,3519.0,820.0,837.0,49.5,2019/2020,Premier League
vs Leicester City,24.0,42.4,38.0,418.0,3420.0,39.0,26.0,8.0,10.0,69.0,3.0,1.03,0.68,1.71,0.82,1.5,44.5,37.0,28.7,1.17,0.76,1.93,0.97,1.73,38.0,38.0,3420.0,67.0,1.76,181.0,120.0,0.657,12.0,8.0,18.0,9.0,23.7,7.0,5.0,2.0,0.0,38.0,1.0,6.0,2.0,66.0,0.33,1.0,0.03,246.0,657.0,37.4,796.0,147.0,55.4,45.1,291.0,74.2,55.8,331.0,24.0,7.3,23.0,0.61,13.9,367.0,126.0,21.0,34.3,9.66,3.32,0.08,0.25,0.11,-5.5,-6.0,12137.0,16041.0,75.7,239630.0,86858.0,5211.0,6049.0,86.1,4737.0,5768.0,82.1,1957.0,3525.0,55.5,-2.7,282.0,893.0,263.0,72.0,1040.0,14049.0,1992.0,447.0,25.0,3168.0,583.0,376.0,175.0,88.0,51.0,24.0,9310.0,2721.0,4010.0,4366.0,9253.0,713.0,974.0,235.0,56.0,336.0,299.0,494.0,619.0,16.29,438.0,56.0,40.0,23.0,46.0,68.0,1.79,47.0,2.0,3.0,4.0,9.0,0.0,705.0,426.0,343.0,264.0,98.0,229.0,673.0,34.0,444.0,6705.0,1874.0,27.9,2301.0,2869.0,1535.0,676.0,158.0,1.0,518.0,294.0,945.0,18.0,20660.0,2431.0,6771.0,9605.0,5504.0,754.0,18713.0,475.0,786.0,60.4,503.0,26.0,12224.0,72830.0,38796.0,14974.0,12137.0,81.1,497.0,499.0,0.0,460.0,398.0,65.0,7.0,7.0,2.0,3407.0,620.0,673.0,48.0,2019/2020,Premier League
vs Liverpool,24.0,36.6,38.0,418.0,3420.0,32.0,23.0,1.0,1.0,47.0,0.0,0.84,0.61,1.45,0.82,1.42,40.0,39.3,29.1,1.05,0.76,1.82,1.03,1.8,38.0,38.0,3420.0,85.0,2.24,222.0,141.0,0.64,3.0,3.0,32.0,3.0,7.9,5.0,5.0,0.0,0.0,38.0,2.0,14.0,2.0,82.0,0.35,-1.0,-0.03,287.0,859.0,33.4,947.0,161.0,61.9,46.6,349.0,78.2,59.4,404.0,26.0,6.4,22.0,0.58,13.8,340.0,107.0,5.0,31.5,8.95,2.82,0.09,0.29,0.12,-8.0,-8.3,10739.0,14771.0,72.7,213825.0,79860.0,4481.0,5226.0,85.7,4365.0,5391.0,81.0,1668.0,3529.0,47.3,-6.1,247.0,698.0,197.0,63.0,794.0,13024.0,1747.0,375.0,44.0,2905.0,474.0,382.0,160.0,72.0,36.0,19.0,8120.0,2486.0,4165.0,3982.0,8568.0,775.0,739.0,243.0,135.0,378.0,238.0,407.0,524.0,13.79,372.0,49.0,42.0,21.0,22.0,53.0,1.39,34.0,8.0,2.0,3.0,3.0,0.0,661.0,420.0,419.0,204.0,38.0,234.0,716.0,32.7,482.0,6422.0,1743.0,27.1,2578.0,2641.0,1203.0,722.0,180.0,3.0,542.0,317.0,1284.0,21.0,19448.0,3276.0,8561.0,7848.0,4042.0,615.0,17738.0,364.0,608.0,59.9,395.0,30.0,11096.0,64221.0,34177.0,13563.0,10739.0,79.2,461.0,394.0,0.0,322.0,310.0,142.0,1.0,5.0,2.0,3454.0,563.0,632.0,47.1,2019/2020,Premier League
