squad,League,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season
Crystal Palace,Premier League,Vicente Guaita,es ESP,GK,33-356,1987,16.0,16.0,1440.0,29.0,1.81,74.0,46.0,0.649,5.0,4.0,7.0,1.0,6.3,4.0,3.0,1.0,0.0,16.0,0.0,2.0,0.0,27.4,0.33,-1.6,-0.1,99.0,300.0,33.0,312.0,61.0,59.9,44.9,133.0,85.0,60.3,159.0,9.0,5.7,10.0,0.63,14.5,2020/2021
Crystal Palace,Premier League,Vicente Guaita,es ESP,GK,32,1987,35.0,35.0,3150.0,42.0,1.2,147.0,106.0,0.7140000000000001,11.0,9.0,15.0,10.0,28.6,1.0,0.0,0.0,1.0,35.0,0.0,5.0,2.0,46.8,0.33,6.8,0.19,225.0,674.0,33.4,780.0,163.0,57.4,44.3,273.0,82.8,61.9,331.0,30.0,9.1,16.0,0.46,13.0,2019/2020
Crystal Palace,Premier League,Wayne Hennessey,wal WAL,GK,32,1987,3.0,3.0,270.0,8.0,2.67,22.0,14.0,0.636,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,8.8,0.4,0.8,0.28,31.0,88.0,35.2,64.0,6.0,82.8,56.2,39.0,89.7,67.2,35.0,3.0,8.6,1.0,0.33,14.7,2019/2020
Crystal Palace,Premier League,Vicente Guaita,es ESP,GK,31,1987,20.0,20.0,1755.0,23.0,1.18,82.0,60.0,0.732,10.0,4.0,6.0,7.0,35.0,1.0,1.0,0.0,0.0,19.5,0.0,2.0,1.0,20.9,0.25,-1.1,-0.06,134.0,418.0,32.1,401.0,84.0,60.6,47.4,191.0,91.6,64.0,200.0,17.0,8.5,4.0,0.21,12.2,2018/2019
Crystal Palace,Premier League,Wayne Hennessey,wal WAL,GK,31,1987,18.0,17.0,1575.0,26.0,1.49,65.0,42.0,0.6459999999999999,4.0,3.0,10.0,5.0,29.4,4.0,3.0,1.0,0.0,17.5,1.0,5.0,0.0,22.0,0.3,-4.0,-0.23,114.0,339.0,33.6,355.0,57.0,62.8,49.6,133.0,87.2,69.9,187.0,10.0,5.3,13.0,0.74,15.9,2018/2019
Crystal Palace,Premier League,Julián Speroni,ar ARG,GK,39,1979,1.0,1.0,90.0,4.0,4.0,9.0,5.0,0.556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.7,0.41,-0.3,-0.29,13.0,33.0,39.4,23.0,3.0,95.7,57.7,13.0,84.6,57.8,9.0,0.0,0.0,0.0,0.0,10.6,2018/2019
Crystal Palace,Premier League,Wayne Hennessey,wal WAL,GK,30,1987,27.0,27.0,2430.0,41.0,1.52,128.0,90.0,0.688,8.0,6.0,13.0,7.0,25.9,1.0,1.0,0.0,0.0,27.0,1.0,7.0,2.0,39.3,0.31,0.3,0.01,193.0,508.0,38.0,482.0,75.0,71.2,54.1,173.0,95.4,75.2,308.0,25.0,8.1,14.0,0.52,13.9,2017/2018
Crystal Palace,Premier League,Julián Speroni,ar ARG,GK,38,1979,11.0,11.0,990.0,14.0,1.27,40.0,27.0,0.675,3.0,5.0,3.0,2.0,18.2,1.0,1.0,0.0,0.0,11.0,0.0,4.0,0.0,10.9,0.25,-3.1,-0.28,58.0,180.0,32.2,178.0,15.0,71.3,50.0,54.0,98.1,62.0,140.0,8.0,5.7,5.0,0.45,12.0,2017/2018
Chelsea,Premier League,Kepa Arrizabalaga,es ESP,GK,26-089,1994,3.0,3.0,270.0,6.0,2.0,14.0,8.0,0.5710000000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.8,0.34,-1.2,-0.42,21.0,40.0,52.5,79.0,17.0,34.2,32.2,27.0,48.1,40.0,27.0,4.0,14.8,0.0,0.0,14.0,2020/2021
Chelsea,Premier League,Willy Caballero,ar ARG,GK,39-094,1981,1.0,1.0,90.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,0.49,-1.5,-1.54,1.0,3.0,33.3,20.0,2.0,15.0,24.6,6.0,0.0,19.7,8.0,0.0,0.0,2.0,2.0,22.0,2020/2021
Chelsea,Premier League,Edouard Mendy,sn SEN,GK,28-305,1992,12.0,12.0,1080.0,9.0,0.75,27.0,20.0,0.741,6.0,3.0,3.0,6.0,50.0,2.0,2.0,0.0,0.0,12.0,1.0,2.0,0.0,8.4,0.25,-0.6,-0.05,71.0,141.0,50.4,323.0,35.0,33.1,31.4,71.0,47.9,37.6,99.0,6.0,6.1,10.0,0.83,16.9,2020/2021
Chelsea,Premier League,Kepa Arrizabalaga,es ESP,GK,24,1994,33.0,33.0,2970.0,47.0,1.42,99.0,55.0,0.545,18.0,4.0,11.0,8.0,24.2,2.0,2.0,0.0,0.0,33.0,2.0,8.0,2.0,35.5,0.35,-9.5,-0.29,142.0,333.0,42.6,887.0,145.0,28.2,31.8,199.0,41.7,39.1,238.0,18.0,7.6,21.0,0.64,15.9,2019/2020
Chelsea,Premier League,Willy Caballero,ar ARG,GK,37,1981,5.0,5.0,450.0,7.0,1.4,16.0,10.0,0.563,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,5.9,0.37,-0.1,-0.02,32.0,74.0,43.2,137.0,15.0,45.3,35.8,28.0,42.9,36.8,20.0,0.0,0.0,2.0,0.4,12.4,2019/2020
Chelsea,Premier League,Kepa Arrizabalaga,es ESP,GK,23,1994,36.0,36.0,3240.0,39.0,1.08,117.0,78.0,0.675,20.0,8.0,8.0,14.0,38.9,2.0,1.0,1.0,0.0,36.0,0.0,6.0,0.0,37.6,0.31,-1.4,-0.04,175.0,313.0,55.9,888.0,164.0,22.4,29.0,248.0,46.0,41.4,250.0,19.0,7.6,23.0,0.64,15.9,2018/2019
Chelsea,Premier League,Willy Caballero,ar ARG,GK,36,1981,2.0,2.0,180.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.14,0.4,0.2,14.0,26.0,53.8,47.0,9.0,29.8,31.1,16.0,75.0,48.9,18.0,4.0,22.2,0.0,0.0,8.8,2018/2019
Chelsea,Premier League,Willy Caballero,ar ARG,GK,35,1981,3.0,3.0,270.0,4.0,1.33,11.0,7.0,0.636,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.3,0.33,-0.7,-0.24,11.0,32.0,34.4,74.0,9.0,33.8,32.2,9.0,77.8,55.2,23.0,1.0,4.3,2.0,0.67,18.5,2017/2018
Chelsea,Premier League,Thibaut Courtois,be BEL,GK,25,1992,35.0,35.0,3150.0,34.0,0.97,103.0,73.0,0.6890000000000001,20.0,6.0,9.0,15.0,42.9,2.0,2.0,0.0,0.0,35.0,0.0,1.0,2.0,31.2,0.3,-0.8,-0.02,138.0,388.0,35.6,845.0,158.0,34.2,36.3,152.0,65.1,56.8,318.0,39.0,12.3,18.0,0.51,15.1,2017/2018
Southampton,Premier League,Alex McCarthy,eng ENG,GK,31-028,1989,16.0,16.0,1440.0,19.0,1.19,63.0,45.0,0.73,7.0,5.0,4.0,7.0,43.8,2.0,2.0,0.0,0.0,16.0,0.0,2.0,0.0,20.5,0.3,1.5,0.1,78.0,274.0,28.5,500.0,61.0,44.6,36.6,75.0,68.0,49.6,134.0,11.0,8.2,10.0,0.63,15.4,2020/2021
