player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,21,1995,11.0,6.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.04,0.04,0.08,0.04,0.08,5.7,3.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.07,-0.2,-0.2,81.0,115.0,70.4,1095.0,304.0,50.0,63.0,79.4,22.0,34.0,64.7,3.0,8.0,37.5,-0.2,3.0,5.0,6.0,1.0,9.0,106.0,9.0,4.0,0.0,32.0,4.0,6.0,0.0,0.0,0.0,0.0,76.0,19.0,20.0,79.0,26.0,2.0,2.0,0.0,0.0,9.0,1.0,7.0,3.0,0.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,4.0,5.0,3.0,1.0,5.0,20.0,4.0,117.0,32.0,27.4,23.0,60.0,34.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,173.0,2.0,20.0,82.0,87.0,7.0,167.0,9.0,18.0,50.0,11.0,0.0,136.0,993.0,583.0,212.0,126.0,59.4,10.0,15.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,22.0,7.0,15.0,31.8,2017/2018,SerieA
Ignazio Abate,it ITA,DF,Milan,30,1986,17.0,11.0,1057.0,1.0,0.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,0.2,0.2,0.6,0.02,0.05,0.07,0.02,0.07,11.7,4.0,2.0,0.0,50.0,0.34,0.17,0.25,0.5,0.06,0.8,0.8,625.0,774.0,80.7,11501.0,4742.0,255.0,280.0,91.1,294.0,337.0,87.2,69.0,133.0,51.9,-0.6,11.0,58.0,20.0,8.0,62.0,659.0,115.0,9.0,0.0,122.0,16.0,26.0,2.0,0.0,0.0,1.0,466.0,119.0,189.0,65.0,584.0,16.0,104.0,0.0,4.0,14.0,9.0,26.0,26.0,2.22,22.0,2.0,0.0,2.0,0.0,4.0,0.34,3.0,0.0,0.0,1.0,0.0,0.0,21.0,15.0,12.0,8.0,1.0,11.0,18.0,61.1,7.0,141.0,46.0,32.6,53.0,58.0,30.0,29.0,2.0,0.0,27.0,4.0,17.0,0.0,870.0,40.0,231.0,464.0,226.0,12.0,757.0,1.0,5.0,20.0,2.0,0.0,552.0,2524.0,1494.0,605.0,565.0,93.4,3.0,6.0,0.0,11.0,8.0,3.0,0.0,0.0,0.0,106.0,5.0,4.0,55.6,2017/2018,SerieA
Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.8,0.04,0.02,0.06,0.04,0.06,38.0,15.0,2.0,0.0,13.3,0.39,0.05,0.0,0.0,0.1,-1.5,-1.5,1359.0,1643.0,82.7,30660.0,9085.0,362.0,427.0,84.8,683.0,760.0,89.9,301.0,425.0,70.8,-0.8,13.0,104.0,6.0,3.0,97.0,1546.0,97.0,72.0,1.0,235.0,74.0,9.0,0.0,0.0,0.0,0.0,1007.0,233.0,403.0,1150.0,271.0,131.0,25.0,3.0,3.0,41.0,20.0,17.0,28.0,0.74,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,34.0,33.0,18.0,4.0,17.0,33.0,51.5,16.0,328.0,111.0,33.8,187.0,113.0,28.0,73.0,26.0,0.0,47.0,47.0,225.0,2.0,2089.0,331.0,1099.0,959.0,156.0,26.0,1994.0,15.0,20.0,75.0,16.0,0.0,1150.0,7605.0,3312.0,1047.0,1004.0,95.9,19.0,13.0,0.0,29.0,31.0,0.0,0.0,1.0,1.0,520.0,103.0,32.0,76.3,2017/2018,SerieA
Afriyie Acquah,gh GHA,MF,Torino,25,1992,22.0,9.0,951.0,1.0,0.0,0.0,0.0,4.0,2.0,0.09,0.0,0.09,0.09,0.09,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,10.6,9.0,3.0,0.0,33.3,0.85,0.28,0.11,0.33,0.07,0.4,0.4,403.0,480.0,84.0,7022.0,1590.0,185.0,208.0,88.9,172.0,195.0,88.2,40.0,63.0,63.5,-0.1,3.0,42.0,2.0,0.0,35.0,475.0,5.0,4.0,0.0,88.0,5.0,8.0,0.0,0.0,0.0,0.0,373.0,45.0,62.0,25.0,423.0,19.0,0.0,1.0,2.0,8.0,6.0,10.0,15.0,1.45,11.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,2.0,7.0,2.0,1.0,12.0,8.3,11.0,161.0,32.0,19.9,44.0,100.0,17.0,10.0,1.0,0.0,9.0,10.0,7.0,1.0,573.0,11.0,101.0,398.0,127.0,6.0,568.0,14.0,22.0,63.6,15.0,0.0,449.0,3124.0,1561.0,435.0,406.0,93.3,8.0,18.0,1.0,13.0,14.0,0.0,0.0,0.0,0.0,105.0,12.0,13.0,48.0,2017/2018,SerieA
Claud Adjapong,it ITA,"DF,MF",Sassuolo,19,1998,16.0,14.0,1220.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,0.05,0.05,0.1,0.05,0.1,13.6,15.0,3.0,0.0,20.0,1.11,0.22,0.0,0.0,0.04,-0.6,-0.6,360.0,514.0,70.0,5818.0,2379.0,194.0,225.0,86.2,134.0,197.0,68.0,27.0,70.0,38.6,-0.7,9.0,25.0,6.0,2.0,32.0,452.0,62.0,1.0,0.0,86.0,2.0,24.0,1.0,0.0,0.0,0.0,288.0,76.0,150.0,81.0,323.0,41.0,60.0,2.0,2.0,8.0,9.0,27.0,23.0,1.7,16.0,0.0,2.0,2.0,2.0,3.0,0.22,1.0,0.0,0.0,1.0,1.0,0.0,29.0,19.0,16.0,8.0,5.0,6.0,10.0,60.0,4.0,278.0,79.0,28.4,125.0,102.0,51.0,31.0,3.0,0.0,28.0,11.0,30.0,0.0,693.0,42.0,210.0,319.0,222.0,34.0,631.0,16.0,25.0,64.0,18.0,0.0,443.0,3143.0,1831.0,455.0,379.0,83.3,17.0,26.0,0.0,22.0,19.0,2.0,0.0,0.0,0.0,134.0,15.0,11.0,57.7,2017/2018,SerieA
Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,23,1993,23.0,18.0,1674.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.05,0.05,0.0,0.05,0.4,0.4,1.7,0.02,0.09,0.12,0.02,0.12,18.6,11.0,3.0,4.0,27.3,0.59,0.16,0.0,0.0,0.04,0.6,0.6,588.0,902.0,65.2,10954.0,5194.0,258.0,315.0,81.9,236.0,348.0,67.8,84.0,202.0,41.6,-0.7,21.0,37.0,18.0,11.0,68.0,692.0,210.0,17.0,0.0,124.0,27.0,53.0,24.0,6.0,3.0,1.0,373.0,161.0,368.0,473.0,153.0,63.0,169.0,5.0,0.0,21.0,12.0,38.0,33.0,1.78,24.0,8.0,0.0,0.0,1.0,5.0,0.27,4.0,0.0,0.0,0.0,1.0,0.0,57.0,23.0,38.0,16.0,3.0,29.0,54.0,53.7,25.0,259.0,72.0,27.8,156.0,75.0,28.0,41.0,7.0,0.0,34.0,31.0,72.0,0.0,1145.0,99.0,355.0,536.0,313.0,7.0,938.0,25.0,32.0,78.1,25.0,0.0,562.0,3124.0,1761.0,602.0,548.0,91.0,17.0,17.0,0.0,20.0,22.0,1.0,0.0,0.0,1.0,174.0,49.0,32.0,60.5,2017/2018,SerieA
Arlind Ajeti,al ALB,"DF,MF",Crotone,23,1993,21.0,15.0,1271.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.07,0.07,0.0,0.07,0.7,0.7,1.1,0.05,0.08,0.13,0.05,0.13,14.1,8.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.09,-0.7,-0.7,286.0,365.0,78.4,6321.0,2365.0,75.0,90.0,83.3,152.0,178.0,85.4,56.0,87.0,64.4,-0.1,5.0,19.0,2.0,0.0,26.0,355.0,10.0,10.0,1.0,52.0,6.0,1.0,0.0,0.0,0.0,0.0,218.0,50.0,97.0,40.0,280.0,30.0,0.0,3.0,0.0,12.0,5.0,7.0,11.0,0.78,7.0,0.0,0.0,1.0,1.0,2.0,0.14,1.0,0.0,0.0,1.0,0.0,0.0,41.0,24.0,22.0,17.0,2.0,14.0,28.0,50.0,14.0,174.0,55.0,31.6,114.0,58.0,2.0,34.0,17.0,0.0,17.0,13.0,86.0,2.0,551.0,113.0,331.0,219.0,19.0,9.0,541.0,9.0,10.0,90.0,9.0,0.0,259.0,1319.0,610.0,211.0,203.0,96.2,3.0,4.0,0.0,19.0,6.0,0.0,0.0,1.0,0.0,147.0,23.0,24.0,48.9,2017/2018,SerieA
Luis Alberto,es ESP,"MF,FW",Lazio,24,1992,34.0,32.0,2669.0,11.0,14.0,1.0,2.0,5.0,0.0,0.37,0.47,0.84,0.34,0.81,7.9,6.4,10.1,0.27,0.34,0.61,0.21,0.55,29.7,81.0,28.0,8.0,34.6,2.73,0.94,0.12,0.36,0.08,3.1,3.6,1339.0,1824.0,73.4,25102.0,9173.0,592.0,697.0,84.9,517.0,636.0,81.3,203.0,421.0,48.2,3.9,91.0,184.0,79.0,4.0,242.0,1568.0,256.0,62.0,15.0,332.0,93.0,53.0,162.0,34.0,25.0,6.0,1208.0,214.0,402.0,109.0,1643.0,25.0,23.0,16.0,21.0,30.0,40.0,62.0,163.0,5.48,99.0,49.0,9.0,3.0,2.0,26.0,0.87,14.0,8.0,3.0,0.0,1.0,0.0,31.0,28.0,5.0,19.0,7.0,5.0,38.0,13.2,33.0,525.0,156.0,29.7,78.0,274.0,173.0,38.0,4.0,0.0,34.0,10.0,3.0,0.0,2156.0,7.0,156.0,1090.0,1103.0,93.0,1903.0,51.0,84.0,60.7,56.0,10.0,1611.0,10377.0,6597.0,1809.0,1567.0,86.6,54.0,53.0,0.0,20.0,36.0,3.0,1.0,0.0,0.0,205.0,10.0,29.0,25.6,2017/2018,SerieA
Raúl Albiol,es ESP,DF,Napoli,31,1985,31.0,30.0,2742.0,3.0,1.0,0.0,0.0,7.0,0.0,0.1,0.03,0.13,0.1,0.13,1.8,1.8,1.2,0.06,0.04,0.1,0.06,0.1,30.5,16.0,7.0,0.0,43.8,0.53,0.23,0.19,0.43,0.11,1.2,1.2,2223.0,2510.0,88.6,51015.0,16364.0,631.0,684.0,92.3,978.0,1075.0,91.0,576.0,696.0,82.8,-0.2,7.0,221.0,3.0,0.0,171.0,2474.0,36.0,36.0,2.0,271.0,161.0,3.0,0.0,0.0,0.0,0.0,1716.0,394.0,400.0,309.0,2001.0,138.0,0.0,10.0,4.0,37.0,23.0,19.0,24.0,0.79,22.0,0.0,0.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,43.0,25.0,21.0,22.0,0.0,17.0,28.0,60.7,11.0,164.0,61.0,37.2,76.0,82.0,6.0,32.0,15.0,1.0,17.0,12.0,107.0,1.0,2733.0,177.0,1040.0,1810.0,71.0,32.0,2701.0,2.0,5.0,40.0,2.0,0.0,1881.0,10618.0,6866.0,1996.0,1985.0,99.4,3.0,4.0,0.0,30.0,19.0,2.0,0.0,0.0,0.0,455.0,73.0,51.0,58.9,2017/2018,SerieA
Alisson,br BRA,GK,Roma,24,1992,37.0,37.0,3330.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.0,1175.0,81.6,30238.0,18872.0,98.0,98.0,100.0,436.0,444.0,98.2,423.0,631.0,67.0,0.0,1.0,12.0,0.0,0.0,0.0,935.0,240.0,58.0,0.0,124.0,54.0,0.0,0.0,0.0,0.0,0.0,619.0,121.0,435.0,89.0,847.0,5.0,1.0,198.0,2.0,28.0,4.0,0.0,5.0,0.14,4.0,1.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1326.0,1095.0,1318.0,12.0,0.0,0.0,1089.0,6.0,6.0,100.0,6.0,0.0,793.0,3063.0,1575.0,644.0,643.0,99.8,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,2017/2018,SerieA
