squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
vs Atalanta,27.0,46.5,13.0,143.0,1170.0,20.0,18.0,1.0,3.0,33.0,0.0,1.54,1.38,2.92,1.46,2.85,16.5,14.2,10.9,1.27,0.84,2.11,1.1,1.94,13.0,13.0,1170.0,28.0,2.15,76.0,50.0,0.6579999999999999,3.0,4.0,6.0,2.0,15.4,2.0,2.0,0.0,0.0,13.0,1.0,1.0,0.0,25.0,0.31,-3.0,-0.23,84.0,213.0,39.4,479.0,62.0,38.0,34.7,99.0,31.3,31.2,102.0,4.0,3.9,6.0,0.46,12.5,121.0,49.0,3.0,40.5,9.31,3.77,0.16,0.39,0.12,3.5,4.8,5321.0,6657.0,79.9,101929.0,36562.0,2194.0,2471.0,88.8,2239.0,2612.0,85.7,768.0,1315.0,58.4,7.1,91.0,305.0,84.0,21.0,398.0,6014.0,643.0,214.0,11.0,757.0,131.0,120.0,40.0,11.0,18.0,6.0,4549.0,876.0,1232.0,1751.0,4273.0,173.0,241.0,103.0,10.0,74.0,132.0,169.0,192.0,14.77,146.0,11.0,12.0,7.0,11.0,36.0,2.77,28.0,3.0,0.0,0.0,3.0,0.0,261.0,174.0,145.0,89.0,27.0,77.0,241.0,32.0,164.0,2024.0,627.0,31.0,796.0,880.0,348.0,236.0,58.0,1.0,178.0,123.0,260.0,5.0,8173.0,1128.0,3235.0,3892.0,1523.0,229.0,7556.0,105.0,178.0,59.0,119.0,8.0,5156.0,28471.0,14333.0,6254.0,5321.0,85.1,178.0,163.0,0.0,180.0,195.0,12.0,2.0,2.0,0.0,1177.0,156.0,224.0,41.1,2020/2021,SerieA
vs Benevento,21.0,57.6,14.0,154.0,1260.0,23.0,20.0,2.0,2.0,31.0,2.0,1.64,1.43,3.07,1.5,2.93,22.5,21.0,17.0,1.61,1.21,2.82,1.5,2.71,14.0,14.0,1260.0,17.0,1.21,50.0,34.0,0.68,6.0,3.0,5.0,3.0,21.4,2.0,1.0,1.0,0.0,14.0,0.0,5.0,0.0,16.7,0.3,-0.3,-0.02,58.0,133.0,43.6,301.0,52.0,31.9,32.0,91.0,40.7,33.1,113.0,12.0,10.6,10.0,0.71,13.9,181.0,56.0,10.0,30.9,12.93,4.0,0.12,0.38,0.12,0.5,0.0,6417.0,7686.0,83.5,126595.0,37048.0,2480.0,2808.0,88.3,2842.0,3207.0,88.6,982.0,1406.0,69.8,2.0,134.0,529.0,131.0,32.0,567.0,7050.0,636.0,185.0,12.0,691.0,229.0,165.0,85.0,33.0,22.0,18.0,5578.0,896.0,1212.0,2187.0,4779.0,236.0,241.0,86.0,31.0,93.0,98.0,171.0,299.0,21.36,217.0,28.0,12.0,14.0,21.0,41.0,2.93,31.0,1.0,5.0,2.0,2.0,0.0,193.0,127.0,75.0,88.0,30.0,52.0,141.0,36.9,89.0,1735.0,528.0,30.4,470.0,799.0,466.0,195.0,48.0,0.0,147.0,108.0,262.0,8.0,9159.0,857.0,2445.0,4894.0,2490.0,347.0,8540.0,138.0,226.0,61.1,144.0,11.0,6263.0,36862.0,21618.0,7288.0,6426.0,88.2,171.0,153.0,0.0,229.0,167.0,38.0,1.0,2.0,0.0,1162.0,226.0,202.0,52.8,2020/2021,SerieA
vs Bologna,29.0,48.4,14.0,154.0,1260.0,25.0,18.0,2.0,2.0,33.0,1.0,1.79,1.29,3.07,1.64,2.93,22.5,21.0,17.1,1.61,1.22,2.82,1.5,2.72,14.0,14.0,1260.0,21.0,1.5,75.0,56.0,0.72,7.0,3.0,4.0,3.0,21.4,1.0,0.0,1.0,0.0,14.0,0.0,4.0,2.0,19.2,0.26,0.2,0.01,88.0,240.0,36.7,408.0,61.0,45.6,37.5,79.0,68.4,47.0,103.0,3.0,2.9,3.0,0.21,14.1,175.0,65.0,4.0,37.1,12.5,4.64,0.13,0.35,0.12,2.5,2.0,5072.0,6500.0,78.0,98196.0,34431.0,2085.0,2413.0,86.4,2099.0,2464.0,85.2,771.0,1318.0,58.5,0.9,139.0,399.0,112.0,22.0,465.0,5822.0,678.0,230.0,22.0,930.0,157.0,144.0,85.0,29.0,34.0,10.0,4407.0,787.0,1306.0,1836.0,3948.0,216.0,236.0,100.0,25.0,94.0,119.0,196.0,291.0,20.79,220.0,21.0,21.0,13.0,5.0,45.0,3.21,30.0,3.0,6.0,3.0,3.0,0.0,267.0,165.0,120.0,117.0,30.0,77.0,248.0,31.0,171.0,2019.0,625.0,31.0,739.0,888.0,392.0,264.0,57.0,0.0,207.0,115.0,268.0,3.0,8075.0,936.0,2624.0,3778.0,2131.0,327.0,7420.0,150.0,222.0,67.6,154.0,5.0,4977.0,29883.0,16420.0,6008.0,5079.0,84.5,153.0,140.0,0.0,191.0,188.0,29.0,2.0,1.0,2.0,1233.0,224.0,226.0,49.8,2020/2021,SerieA
vs Cagliari,25.0,56.9,14.0,154.0,1260.0,27.0,20.0,2.0,2.0,28.0,3.0,1.93,1.43,3.36,1.79,3.21,29.5,28.0,22.8,2.11,1.63,3.74,2.0,3.63,14.0,14.0,1260.0,21.0,1.5,49.0,29.0,0.612,6.0,5.0,3.0,3.0,21.4,2.0,2.0,0.0,0.0,14.0,2.0,3.0,0.0,17.5,0.33,-3.5,-0.25,76.0,147.0,51.7,399.0,53.0,30.6,31.1,98.0,25.5,28.2,112.0,5.0,4.5,9.0,0.64,12.8,239.0,86.0,7.0,36.0,17.07,6.14,0.1,0.29,0.12,-2.5,-3.0,6785.0,8058.0,84.2,134134.0,42529.0,2666.0,2965.0,89.9,2942.0,3283.0,89.6,1052.0,1529.0,68.8,-2.8,180.0,456.0,159.0,34.0,547.0,7376.0,682.0,197.0,17.0,1109.0,268.0,185.0,81.0,27.0,33.0,7.0,5646.0,1018.0,1394.0,2138.0,5133.0,272.0,269.0,95.0,31.0,108.0,108.0,182.0,389.0,27.79,286.0,30.0,26.0,27.0,16.0,50.0,3.57,40.0,2.0,3.0,2.0,3.0,0.0,251.0,160.0,128.0,96.0,27.0,76.0,248.0,30.6,172.0,1817.0,549.0,30.2,606.0,791.0,420.0,202.0,36.0,0.0,166.0,123.0,240.0,2.0,9616.0,1013.0,3315.0,4499.0,2437.0,445.0,8961.0,157.0,238.0,66.0,166.0,6.0,6211.0,36681.0,20278.0,7717.0,6787.0,87.9,176.0,157.0,1.0,190.0,181.0,36.0,2.0,2.0,0.0,1169.0,221.0,185.0,54.4,2020/2021,SerieA
vs Crotone,27.0,51.6,14.0,154.0,1260.0,29.0,20.0,2.0,2.0,41.0,1.0,2.07,1.43,3.5,1.93,3.36,23.7,22.2,16.1,1.7,1.15,2.85,1.59,2.74,14.0,14.0,1260.0,13.0,0.93,40.0,30.0,0.75,9.0,3.0,2.0,6.0,42.9,3.0,3.0,0.0,0.0,14.0,0.0,1.0,0.0,12.1,0.24,-0.9,-0.06,96.0,221.0,43.4,382.0,57.0,44.8,37.4,93.0,53.8,40.1,107.0,15.0,14.0,15.0,1.07,17.0,180.0,74.0,9.0,41.1,12.86,5.29,0.15,0.36,0.13,5.3,4.8,5898.0,7276.0,81.1,112676.0,37849.0,2519.0,2834.0,88.9,2391.0,2749.0,87.0,857.0,1397.0,61.3,3.9,131.0,415.0,105.0,15.0,476.0,6605.0,671.0,214.0,13.0,864.0,207.0,138.0,71.0,26.0,31.0,7.0,5037.0,898.0,1341.0,1873.0,4644.0,235.0,259.0,100.0,40.0,114.0,81.0,179.0,284.0,20.29,199.0,26.0,17.0,17.0,18.0,44.0,3.14,32.0,2.0,2.0,4.0,2.0,0.0,277.0,171.0,125.0,115.0,37.0,79.0,221.0,35.7,142.0,2139.0,732.0,34.2,586.0,995.0,558.0,195.0,30.0,0.0,165.0,142.0,215.0,3.0,8838.0,856.0,2685.0,4326.0,2337.0,328.0,8192.0,138.0,231.0,59.7,144.0,7.0,5764.0,31580.0,16310.0,6851.0,5897.0,86.1,167.0,181.0,0.0,204.0,195.0,44.0,1.0,3.0,0.0,1249.0,197.0,152.0,56.4,2020/2021,SerieA
vs Fiorentina,25.0,47.9,14.0,154.0,1260.0,20.0,12.0,3.0,4.0,29.0,1.0,1.43,0.86,2.29,1.21,2.07,21.4,18.4,14.1,1.53,1.0,2.54,1.31,2.32,14.0,14.0,1260.0,16.0,1.14,47.0,32.0,0.7020000000000001,6.0,5.0,3.0,5.0,35.7,2.0,2.0,0.0,0.0,14.0,0.0,1.0,1.0,17.3,0.35,2.3,0.16,78.0,168.0,46.4,351.0,56.0,34.2,34.6,87.0,55.2,41.5,152.0,5.0,3.3,7.0,0.5,13.8,181.0,57.0,8.0,31.5,12.93,4.07,0.09,0.3,0.1,-1.4,-1.4,5349.0,6625.0,80.7,103710.0,33606.0,2099.0,2404.0,87.3,2372.0,2763.0,85.8,765.0,1226.0,62.4,-2.1,129.0,340.0,105.0,27.0,429.0,6001.0,624.0,214.0,19.0,991.0,162.0,166.0,57.0,14.0,26.0,6.0,4532.0,828.0,1265.0,1857.0,4033.0,253.0,235.0,87.0,27.0,101.0,94.0,136.0,278.0,19.86,200.0,23.0,16.0,16.0,16.0,33.0,2.36,23.0,4.0,0.0,2.0,4.0,0.0,307.0,194.0,152.0,129.0,26.0,69.0,194.0,35.6,125.0,2057.0,612.0,29.8,700.0,976.0,381.0,231.0,38.0,0.0,193.0,88.0,291.0,2.0,8263.0,930.0,2766.0,4019.0,2009.0,321.0,7657.0,117.0,206.0,56.8,127.0,2.0,5150.0,31768.0,17753.0,6218.0,5349.0,86.0,171.0,136.0,0.0,221.0,198.0,34.0,4.0,2.0,1.0,1209.0,217.0,209.0,50.9,2020/2021,SerieA
vs Genoa,29.0,55.2,14.0,154.0,1260.0,26.0,20.0,3.0,3.0,30.0,0.0,1.86,1.43,3.29,1.64,3.07,20.7,18.6,14.6,1.48,1.04,2.52,1.33,2.37,14.0,14.0,1260.0,15.0,1.07,40.0,27.0,0.65,8.0,4.0,2.0,5.0,35.7,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,12.3,0.3,-1.7,-0.12,69.0,158.0,43.7,387.0,51.0,32.0,33.4,59.0,57.6,42.1,92.0,4.0,4.3,3.0,0.21,14.2,181.0,69.0,10.0,38.1,12.93,4.93,0.13,0.33,0.11,5.3,4.4,6617.0,8118.0,81.5,133208.0,40109.0,2407.0,2774.0,86.8,2993.0,3427.0,87.3,1090.0,1605.0,67.9,5.4,131.0,458.0,121.0,30.0,586.0,7425.0,693.0,224.0,9.0,939.0,233.0,180.0,89.0,28.0,37.0,15.0,5660.0,970.0,1488.0,2210.0,5031.0,316.0,287.0,90.0,19.0,109.0,118.0,178.0,289.0,20.64,204.0,23.0,28.0,8.0,20.0,44.0,3.14,30.0,2.0,6.0,3.0,3.0,0.0,232.0,163.0,96.0,105.0,31.0,86.0,198.0,43.4,112.0,1676.0,529.0,31.6,395.0,831.0,450.0,213.0,39.0,3.0,174.0,82.0,198.0,2.0,9584.0,811.0,2815.0,5046.0,2359.0,327.0,8913.0,122.0,204.0,59.8,137.0,7.0,6297.0,34829.0,19038.0,7699.0,6617.0,85.9,188.0,161.0,0.0,196.0,200.0,22.0,3.0,1.0,0.0,1421.0,239.0,197.0,54.8,2020/2021,SerieA
vs Hellas Verona,27.0,53.5,14.0,154.0,1260.0,13.0,11.0,1.0,2.0,29.0,1.0,0.93,0.79,1.71,0.86,1.64,20.7,19.2,15.2,1.48,1.09,2.57,1.37,2.46,14.0,14.0,1260.0,15.0,1.07,44.0,32.0,0.727,4.0,5.0,4.0,3.0,21.4,3.0,3.0,0.0,0.0,14.0,0.0,1.0,2.0,15.4,0.3,2.4,0.17,118.0,287.0,41.1,469.0,56.0,52.0,40.2,91.0,47.3,38.1,135.0,12.0,8.9,8.0,0.57,15.4,220.0,58.0,6.0,26.4,15.71,4.14,0.05,0.21,0.09,-7.7,-7.2,5486.0,7199.0,76.2,105972.0,39748.0,2236.0,2635.0,84.9,2308.0,2819.0,81.9,806.0,1437.0,56.1,-4.2,160.0,441.0,152.0,41.0,523.0,6453.0,746.0,255.0,5.0,1119.0,160.0,206.0,79.0,23.0,32.0,6.0,4292.0,1169.0,1738.0,1954.0,4234.0,325.0,289.0,118.0,12.0,113.0,129.0,171.0,331.0,23.64,246.0,25.0,18.0,25.0,13.0,25.0,1.79,19.0,0.0,2.0,3.0,1.0,0.0,218.0,144.0,102.0,101.0,15.0,67.0,211.0,31.8,144.0,1856.0,656.0,35.3,639.0,861.0,356.0,235.0,38.0,1.0,197.0,109.0,260.0,3.0,8756.0,1005.0,2661.0,4195.0,2349.0,432.0,8041.0,99.0,160.0,61.9,110.0,5.0,5183.0,31141.0,15861.0,6545.0,5486.0,83.8,175.0,150.0,0.0,210.0,220.0,17.0,2.0,3.0,2.0,1563.0,339.0,314.0,51.9,2020/2021,SerieA
vs Inter,22.0,45.6,14.0,154.0,1260.0,17.0,12.0,1.0,2.0,29.0,2.0,1.21,0.86,2.07,1.14,2.0,17.8,16.1,13.1,1.27,0.93,2.2,1.15,2.09,14.0,14.0,1260.0,34.0,2.43,75.0,46.0,0.5870000000000001,1.0,3.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,14.0,0.0,5.0,2.0,28.2,0.34,-3.8,-0.27,88.0,227.0,38.8,411.0,67.0,43.1,38.0,114.0,43.9,38.4,151.0,6.0,4.0,9.0,0.64,14.1,139.0,46.0,7.0,33.1,9.93,3.29,0.12,0.35,0.12,-0.8,-0.1,5635.0,6869.0,82.0,109688.0,33545.0,2256.0,2546.0,88.6,2439.0,2770.0,88.1,833.0,1302.0,64.0,-1.1,107.0,360.0,82.0,23.0,350.0,6238.0,631.0,227.0,10.0,833.0,171.0,124.0,43.0,11.0,16.0,2.0,4910.0,771.0,1188.0,1913.0,4321.0,186.0,198.0,117.0,14.0,96.0,92.0,168.0,227.0,16.21,167.0,18.0,10.0,8.0,18.0,26.0,1.86,20.0,0.0,2.0,3.0,1.0,0.0,210.0,124.0,119.0,73.0,18.0,74.0,188.0,39.4,114.0,2000.0,563.0,28.2,777.0,802.0,421.0,215.0,53.0,0.0,162.0,156.0,292.0,5.0,8335.0,1049.0,3030.0,3918.0,1885.0,243.0,7737.0,120.0,204.0,58.8,124.0,11.0,5400.0,30629.0,16011.0,6436.0,5635.0,87.6,139.0,132.0,0.0,168.0,208.0,16.0,2.0,3.0,2.0,1017.0,176.0,210.0,45.6,2020/2021,SerieA
vs Juventus,26.0,40.2,13.0,143.0,1170.0,12.0,7.0,2.0,2.0,35.0,0.0,0.92,0.54,1.46,0.77,1.31,11.5,10.0,7.9,0.88,0.61,1.49,0.77,1.38,13.0,13.0,1170.0,25.0,1.92,65.0,44.0,0.677,1.0,6.0,6.0,1.0,7.7,5.0,4.0,1.0,0.0,13.0,0.0,4.0,0.0,25.2,0.33,0.2,0.01,104.0,222.0,46.8,354.0,47.0,49.7,39.0,103.0,44.7,39.3,114.0,6.0,5.3,6.0,0.46,12.7,127.0,37.0,7.0,29.1,9.77,2.85,0.08,0.27,0.08,0.5,0.0,4483.0,5608.0,79.9,88736.0,29515.0,1781.0,2021.0,88.1,1929.0,2271.0,84.9,694.0,1103.0,62.9,-0.9,87.0,338.0,87.0,20.0,343.0,5013.0,595.0,187.0,5.0,709.0,145.0,133.0,45.0,11.0,23.0,2.0,3877.0,586.0,1145.0,1636.0,3395.0,168.0,219.0,72.0,14.0,75.0,85.0,164.0,187.0,14.38,140.0,15.0,10.0,9.0,9.0,19.0,1.46,14.0,0.0,1.0,3.0,1.0,0.0,202.0,120.0,94.0,79.0,29.0,71.0,220.0,32.3,149.0,1783.0,460.0,25.8,629.0,778.0,376.0,200.0,52.0,1.0,148.0,123.0,223.0,2.0,6930.0,974.0,2553.0,3006.0,1786.0,228.0,6350.0,120.0,197.0,60.9,126.0,11.0,4171.0,24024.0,13389.0,5288.0,4487.0,84.9,125.0,154.0,0.0,179.0,156.0,17.0,1.0,5.0,0.0,950.0,132.0,172.0,43.4,2020/2021,SerieA
